winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2018,January,365,337,343,349,357,374.4,392.4,417.9,466,f645176aa8693976bb48bb567f382ed517c7ecd0
2018,November,81.5,76,76,76,79,85.35,91,99.05,119,f645176aa8693976bb48bb567f382ed517c7ecd0
2018,December,210,174,180,193.6,202,218.4,231,275.5,343,f645176aa8693976bb48bb567f382ed517c7ecd0
2018,NA,255,210,221,236.8,245.6,272,282.4,306.3,387,f645176aa8693976bb48bb567f382ed517c7ecd0
2019,January,460,431,435,444,451.6,473,488.6,533.4,587,f645176aa8693976bb48bb567f382ed517c7ecd0
2019,November,73,67,67,68,70.65,75,81,100,113,f645176aa8693976bb48bb567f382ed517c7ecd0
2019,December,363.5,323,329,342.8,352.6,371,392,421,453,f645176aa8693976bb48bb567f382ed517c7ecd0
2019,NA,417,378,389,398.8,408.6,426.7,446.2,470.1,499,f645176aa8693976bb48bb567f382ed517c7ecd0
2020,January,293.5,268,272,281.8,289,301.4,316,346.2,449,f645176aa8693976bb48bb567f382ed517c7ecd0
2020,November,65.5,59,59,60.8,62,70,73,87.1,128,f645176aa8693976bb48bb567f382ed517c7ecd0
2020,December,253,212,223,232.8,243.6,262,279,312.1,342,f645176aa8693976bb48bb567f382ed517c7ecd0
2020,NA,242,207,219.8,226,234,257.4,269.4,301,312,f645176aa8693976bb48bb567f382ed517c7ecd0
2021,January,346.5,276,301.9,320,337,368.7,406,440,612,f645176aa8693976bb48bb567f382ed517c7ecd0
2021,November,42.5,30,30.95,34,39,48,57.2,73,102,f645176aa8693976bb48bb567f382ed517c7ecd0
2021,December,258,201,214,230,242,271.7,292.4,327.2,445,f645176aa8693976bb48bb567f382ed517c7ecd0
2021,NA,396,299,326,356,378,419.4,446.8,504.6,586,f645176aa8693976bb48bb567f382ed517c7ecd0
2022,January,437,350,387.8,406.8,420.6,453.4,483.4,529.3,714,f645176aa8693976bb48bb567f382ed517c7ecd0
2022,November,70.5,49,50.95,59,65,80,89,124.2,190,f645176aa8693976bb48bb567f382ed517c7ecd0
2022,December,321,250,269.9,291.6,303.6,335.4,366.2,452.1,537,f645176aa8693976bb48bb567f382ed517c7ecd0
