winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2012,NA,1772,1772,1772,1772,1772,1772,1772,1772,1772,a9c61fce9fa6319725c401005677845b30d90c12
2013,January,2179,2179,2179,2179,2179,2179,2179,2179,2179,a9c61fce9fa6319725c401005677845b30d90c12
2013,November,645,645,645,645,645,645,645,645,645,a9c61fce9fa6319725c401005677845b30d90c12
2013,December,814,814,814,814,814,814,814,814,814,a9c61fce9fa6319725c401005677845b30d90c12
2013,NA,1930,1930,1930,1930,1930,1930,1930,1930,1930,a9c61fce9fa6319725c401005677845b30d90c12
2014,January,2364,2364,2364,2364,2364,2364,2364,2364,2364,a9c61fce9fa6319725c401005677845b30d90c12
2014,November,1110,1110,1110,1110,1110,1110,1110,1110,1110,a9c61fce9fa6319725c401005677845b30d90c12
2014,December,1246,1246,1246,1246,1246,1246,1246,1246,1246,a9c61fce9fa6319725c401005677845b30d90c12
2014,NA,2604,2604,2604,2604,2604,2604,2604,2604,2604,a9c61fce9fa6319725c401005677845b30d90c12
2015,January,1493,1493,1493,1493,1493,1493,1493,1493,1493,a9c61fce9fa6319725c401005677845b30d90c12
2015,November,1187,1187,1187,1187,1187,1187,1187,1187,1187,a9c61fce9fa6319725c401005677845b30d90c12
2015,December,1285,1285,1285,1285,1285,1285,1285,1285,1285,a9c61fce9fa6319725c401005677845b30d90c12
2015,NA,2648,2648,2648,2648,2648,2648,2648,2648,2648,a9c61fce9fa6319725c401005677845b30d90c12
2016,January,1678,1678,1678,1678,1678,1678,1678,1678,1678,a9c61fce9fa6319725c401005677845b30d90c12
2016,November,979,979,979,979,979,979,979,979,979,a9c61fce9fa6319725c401005677845b30d90c12
2016,December,1283,1283,1283,1283,1283,1283,1283,1283,1283,a9c61fce9fa6319725c401005677845b30d90c12
2016,NA,1946,1946,1946,1946,1946,1946,1946,1946,1946,a9c61fce9fa6319725c401005677845b30d90c12
2017,January,1144,1144,1144,1144,1144,1144,1144,1144,1144,a9c61fce9fa6319725c401005677845b30d90c12
2017,November,1186,1186,1186,1186,1186,1186,1186,1186,1186,a9c61fce9fa6319725c401005677845b30d90c12
2017,December,1113,1113,1113,1113,1113,1113,1113,1113,1113,a9c61fce9fa6319725c401005677845b30d90c12
2017,NA,2056,2056,2056,2056,2056,2056,2056,2056,2056,a9c61fce9fa6319725c401005677845b30d90c12
2018,January,2647,2647,2647,2647,2647,2647,2647,2647,2647,a9c61fce9fa6319725c401005677845b30d90c12
