winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2022,December,290,290,290,290,290,290,290,290,290,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2022,NA,99,99,99,99,99,99,99,99,99,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2023,January,135,135,135,135,135,135,135,135,135,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2023,November,266,266,266,266,266,266,266,266,266,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2023,December,18,18,18,18,18,18,18,18,18,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2023,NA,150,150,150,150,150,150,150,150,150,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2024,January,166,166,166,166,166,166,166,166,166,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2024,November,363,363,363,363,363,363,363,363,363,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2024,December,214,214,214,214,214,214,214,214,214,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2024,NA,248,248,248,248,248,248,248,248,248,db979e8c590dc3ec9bfbaa6f3748384349cb658a
